Table 6: Number of Canada Recovery Benefit (CRB) applications and total gross amount (in $000) by province and territory and eligibility period,,,
,,,
Eligibility Period,Province/Territory,Number of Applications,Total Gross Amount ($000)
12: 2021-02-28 to 2021-03-13,Saskatchewan,29540,29540
12: 2021-02-28 to 2021-03-13,Alberta,150930,150930
12: 2021-02-28 to 2021-03-13,British Columbia,148440,148440
12: 2021-02-28 to 2021-03-13,Yukon,1100,1100
12: 2021-02-28 to 2021-03-13,Northwest Territories,1490,1490
12: 2021-02-28 to 2021-03-13,Nunavut,910,910
12: 2021-02-28 to 2021-03-13,Outside Canada,310,310
12: 2021-02-28 to 2021-03-13,Missing,-,-
12: 2021-02-28 to 2021-03-13,Total,1154600,1154600
13: 2021-03-14 to 2021-03-27,Newfoundland and Labrador,12380,12380
13: 2021-03-14 to 2021-03-27,Prince Edward Island,2830,2830
13: 2021-03-14 to 2021-03-27,Nova Scotia,22270,22270
13: 2021-03-14 to 2021-03-27,New Brunswick,15450,15450
13: 2021-03-14 to 2021-03-27,Quebec,183300,183300
13: 2021-03-14 to 2021-03-27,Ontario,543260,543260
13: 2021-03-14 to 2021-03-27,Manitoba,30880,30880
13: 2021-03-14 to 2021-03-27,Saskatchewan,29180,29180
13: 2021-03-14 to 2021-03-27,Alberta,149030,149030
13: 2021-03-14 to 2021-03-27,British Columbia,147780,147780
13: 2021-03-14 to 2021-03-27,Yukon,1050,1050
13: 2021-03-14 to 2021-03-27,Northwest Territories,1450,1450
13: 2021-03-14 to 2021-03-27,Nunavut,870,870
13: 2021-03-14 to 2021-03-27,Outside Canada,310,310
13: 2021-03-14 to 2021-03-27,Missing,-,-
13: 2021-03-14 to 2021-03-27,Total,1140050,1140050
14: 2021-03-28 to 2021-04-10,Newfoundland and Labrador,11960,11960
14: 2021-03-28 to 2021-04-10,Prince Edward Island,2790,2790
14: 2021-03-28 to 2021-04-10,Nova Scotia,22890,22890
14: 2021-03-28 to 2021-04-10,New Brunswick,15540,15540
14: 2021-03-28 to 2021-04-10,Quebec,185660,185660
14: 2021-03-28 to 2021-04-10,Ontario,564060,564060
14: 2021-03-28 to 2021-04-10,Manitoba,30990,30990
14: 2021-03-28 to 2021-04-10,Saskatchewan,29510,29510
14: 2021-03-28 to 2021-04-10,Alberta,150270,150270
14: 2021-03-28 to 2021-04-10,British Columbia,150780,150780
14: 2021-03-28 to 2021-04-10,Yukon,1060,1060
14: 2021-03-28 to 2021-04-10,Northwest Territories,1480,1480
14: 2021-03-28 to 2021-04-10,Nunavut,950,950
14: 2021-03-28 to 2021-04-10,Outside Canada,280,280
14: 2021-03-28 to 2021-04-10,Missing,-,-
14: 2021-03-28 to 2021-04-10,Total,1168220,1168220
15: 2021-04-11 to 2021-04-24,Newfoundland and Labrador,11770,11770
15: 2021-04-11 to 2021-04-24,Prince Edward Island,2770,2770
15: 2021-04-11 to 2021-04-24,Nova Scotia,24720,24720
15: 2021-04-11 to 2021-04-24,New Brunswick,15350,15350
15: 2021-04-11 to 2021-04-24,Quebec,184520,184520
15: 2021-04-11 to 2021-04-24,Ontario,573410,573410
15: 2021-04-11 to 2021-04-24,Manitoba,31230,31230
15: 2021-04-11 to 2021-04-24,Saskatchewan,29320,29320
15: 2021-04-11 to 2021-04-24,Alberta,152020,152020
15: 2021-04-11 to 2021-04-24,British Columbia,150460,150460
15: 2021-04-11 to 2021-04-24,Yukon,1050,1050
15: 2021-04-11 to 2021-04-24,Northwest Territories,1500,1500
15: 2021-04-11 to 2021-04-24,Nunavut,980,980
15: 2021-04-11 to 2021-04-24,Outside Canada,260,260
15: 2021-04-11 to 2021-04-24,Missing,-,-
15: 2021-04-11 to 2021-04-24,Total,1179340,1179340
16: 2021-04-25 to 2021-05-08,Newfoundland and Labrador,11350,11350
16: 2021-04-25 to 2021-05-08,Prince Edward Island,2680,2680
16: 2021-04-25 to 2021-05-08,Nova Scotia,28380,28380
16: 2021-04-25 to 2021-05-08,New Brunswick,15020,15020
16: 2021-04-25 to 2021-05-08,Quebec,179820,179820
16: 2021-04-25 to 2021-05-08,Ontario,567510,567510
16: 2021-04-25 to 2021-05-08,Manitoba,31290,31290
16: 2021-04-25 to 2021-05-08,Saskatchewan,28530,28530
16: 2021-04-25 to 2021-05-08,Alberta,151220,151220
16: 2021-04-25 to 2021-05-08,British Columbia,148230,148230
16: 2021-04-25 to 2021-05-08,Yukon,1030,1030
16: 2021-04-25 to 2021-05-08,Northwest Territories,1490,1490
16: 2021-04-25 to 2021-05-08,Nunavut,960,960
16: 2021-04-25 to 2021-05-08,Outside Canada,230,230
16: 2021-04-25 to 2021-05-08,Missing,-,-
16: 2021-04-25 to 2021-05-08,Total,1167740,1167740
17: 2021-05-09 to 2021-05-22,Newfoundland and Labrador,10710,10710
17: 2021-05-09 to 2021-05-22,Prince Edward Island,2580,2580
17: 2021-05-09 to 2021-05-22,Nova Scotia,27060,27060
17: 2021-05-09 to 2021-05-22,New Brunswick,14190,14190
17: 2021-05-09 to 2021-05-22,Quebec,165910,165910
17: 2021-05-09 to 2021-05-22,Ontario,552260,552260
